State,Solution
"[4, 7, 7, 8, 7, 6, 9, 0, 8, 5, 8, 8, 0, 9, 2, 4, 10, 3]",p011100 r-11000 r-50111 p001100 r-41100 r+60011 p000100 r-70001 r-10110 p010100 r+60101 r-51010 p010000 r+00100 r-41011 p110000 r+11100 r-40011 p110100 r+41101 r+10010
"[3, 0, 6, 4, 3, 5, 1, 8, 0, 6, 5, 9, 2, 4, 3, 0, 3, 11]",p011100 r+11000 r-10111 p001100 r+01100 r-30011 p000100 r-70001 r-71110 p010100 r-50101 r-21010 p010000 r-30100 r-21011 p110000 r-81100 r-90011 p110100 r+01101 r-10010
"[9, 11, 8, 6, 11, 9, 1, 3, 9, 4, 5, 3, 0, 7, 9, 3, 1, 11]",p011100 r+61000 r-40111 p001100 r+41100 r+60011 p000100 r+40001 r-41110 p010100 r+30101 r+21010 p010000 r+00100 r+41011 p110000 r-51100 r-70011 p110100 r-31101 r+20010
"[4, 2, 1, 8, 0, 2, 9, 1, 9, 11, 0, 8, 11, 8, 2, 3, 2, 3]",p011100 r+61000 r+00111 p001100 r+01100 r+10011 p000100 r+10001 r-71110 p010100 r-40101 r-31010 p010000 r-10000 r-91011 p110000 r+61100 r+10011 p110100 r+61101 r-40010
"[5, 10, 7, 10, 7, 8, 10, 0, 0, 5, 2, 7, 7, 1, 5, 0, 7, 2]",p011100 r+61000 r+10111 p001100 r+21100 r-40011 p000100 r+50001 r+61110 p010100 r+20101 r-51010 p010000 r-90100 r-21011 p110000 r+01100 r-50011 p110100 r-21101 r-10010
"[7, 4, 5, 5, 1, 4, 1, 11, 7, 7, 3, 5, 7, 8, 6, 5, 0, 11]",p011100 r-41000 r+00111 p001100 r+61100 r+50011 p000100 r-20001 r+31110 p010100 r+50101 r+01010 p010000 r-90100 r-10011 p110000 r+11100 r-40011 p110100 r-11101 r+50010
"[10, 9, 11, 0, 1, 4, 6, 10, 10, 1, 4, 2, 5, 10, 3, 2, 4, 6]",p011100 r+61000 r-30111 p001100 r+11100 r+60011 p000100 r-30001 r-71110 p010100 r-50101 r+21010 p010000 r-40100 r+31011 p110000 r+31100 r-10011 p110100 r+51101 r+60010
"[6, 7, 7, 11, 9, 5, 2, 5, 2, 5, 1, 6, 3, 4, 8, 10, 10, 10]",p011100 r+61000 r+20111 p001100 r+21100 r+00011 p000100 r-40001 r+11110 p010100 r+50101 r-11010 p010000 r-20100 r-51011 p110000 r-81100 r-20011 p110100 r-21101 r+30010
"[1, 10, 1, 5, 3, 6, 7, 8, 5, 11, 3, 11, 2, 8, 0, 7, 2, 5]",p011100 r+61000 r-50111 p001100 r+21100 r-20011 p000100 r-70001 r-11110 p010100 r-50101 r+41010 p010000 r-50100 r+31011 p110000 r-51100 r+10011 p110100 r+21101 r+50010
"[10, 11, 8, 11, 8, 6, 11, 11, 3, 4, 11, 2, 10, 4, 7, 9, 2, 1]",p011100 r+21000 r-10111 p001100 r-51100 r-50011 p000100 r+30001 r-41110 p010100 r-20101 r+51010 p010000 r+30100 r+01011 p110000 r+01100 r+10011 p110100 r+61101 r+50010
"[7, 11, 0, 10, 11, 2, 10, 7, 4, 0, 8, 5, 9, 5, 9, 8, 9, 2]",p011100 r-41000 r-20111 p001100 r+01100 r-50011 p000100 r-40001 r-21110 p010100 r-30101 r-11010 p010000 r+00100 r+41011 p110000 r-11100 r-10011 p110100 r+41101 r-30010
"[6, 2, 10, 10, 0, 7, 1, 10, 6, 2, 10, 6, 5, 3, 0, 6, 11, 11]",p011100 r+41000 r+20111 p001100 r-11100 r-30011 p000100 r-20001 r+21110 p010100 r+40101 r+11010 p010000 r+20100 r-11011 p110000 r-41100 r+50011 p110100 r+11101 r+50010
"[0, 1, 9, 2, 11, 2, 4, 6, 0, 3, 8, 0, 3, 9, 4, 0, 7, 8]",p011100 r+21000 r-40111 p001100 r+31100 r-40011 p000100 r-50001 r-11110 p010100 r+00101 r+21010 p010000 r-10000 r-31011 p110000 r+11100 r-70011 p110100 r-11101 r+10010
"[7, 5, 7, 9, 5, 2, 11, 0, 7, 5, 0, 5, 8, 10, 7, 5, 2, 1]",p011100 r-41000 r+40111 p001100 r-51100 r+20011 p000100 r-50001 r+01110 p010100 r-30101 r-51010 p010000 r+00100 r-21011 p110000 r+41100 r+40011 p110100 r+51101 r-20010
"[4, 5, 11, 3, 10, 1, 10, 1, 3, 1, 6, 8, 9, 3, 1, 9, 9, 2]",p011100 r+61000 r+10111 p001100 r-41100 r+00011 p000100 r-90001 r+21110 p010100 r-10101 r+31010 p010000 r-50100 r+21011 p110000 r-21100 r-30011 p110100 r+61101 r-30010
"[5, 0, 6, 11, 9, 4, 4, 9, 6, 6, 8, 7, 4, 10, 1, 6, 0, 8]",p011100 r-21000 r+00111 p001100 r-11100 r-50011 p000100 r+00001 r-11110 p010100 r+30101 r+61010 p010000 r+30100 r+21011 p110000 r-11100 r+40011 p110100 r+31101 r+20010
"[0, 0, 9, 8, 3, 2, 1, 4, 11, 3, 1, 0, 8, 0, 2, 1, 5, 11]",p011100 r-51000 r-10111 p001100 r+31100 r-20011 p000100 r+10001 r+01110 p010100 r-50101 r-51010 p010000 r-30100 r+31011 p110000 r-41100 r-70011 p110100 r-11101 r-10010
"[1, 7, 3, 11, 5, 5, 11, 11, 3, 9, 6, 11, 10, 4, 6, 9, 3, 1]",p011100 r+11000 r+10111 p001100 r-31100 r+60011 p000100 r+60001 r+51110 p010100 r+50101 r+51010 p010000 r-10000 r-10011 p110000 r+41100 r-40011 p110100 r-51101 r-20010
"[3, 2, 1, 0, 3, 10, 5, 11, 4, 11, 0, 9, 5, 1, 2, 8, 5, 7]",p011100 r-41000 r+60111 p001100 r+31100 r-10011 p000100 r-40001 r+31110 p010100 r+30101 r+11010 p010000 r-10100 r+21011 p110000 r-21100 r-50011 p110100 r-41101 r+10010
"[11, 2, 3, 8, 8, 7, 3, 11, 10, 9, 3, 1, 11, 9, 7, 2, 7, 9]",p011100 r+21000 r+60111 p001100 r+01100 r-40011 p000100 r-90001 r-31110 p010100 r-50101 r-51010 p010000 r-60100 r-71011 p110000 r+61100 r+40011 p110100 r+41101 r+60010
"[1, 9, 5, 11, 5, 6, 4, 10, 3, 7, 4, 11, 3, 11, 7, 9, 2, 8]",p011100 r-31000 r+50111 p001100 r-51100 r-40011 p000100 r+50001 r-41110 p010100 r+50101 r+61010 p010000 r+40100 r-31011 p110000 r+21100 r+10011 p110100 r+21101 r-50010
"[4, 7, 4, 0, 1, 2, 2, 0, 6, 8, 5, 8, 4, 1, 2, 6, 10, 10]",p011100 r+31000 r+60111 p001100 r-41100 r+20011 p000100 r-10001 r+01110 p010100 r+60101 r-21010 p010000 r+60100 r-51011 p110000 r-71100 r+10011 p110100 r-11101 r-40010
"[6, 7, 8, 2, 9, 1, 3, 0, 1, 4, 1, 6, 3, 10, 4, 11, 4, 9]",p011100 r+61000 r+40111 p001100 r+01100 r+10011 p000100 r+30001 r+01110 p010100 r-40101 r-11010 p010000 r-20100 r-21011 p110000 r-51100 r-20011 p110100 r+61101 r-30010
"[9, 5, 1, 4, 10, 4, 7, 7, 2, 11, 10, 3, 3, 1, 4, 10, 0, 5]",p011100 r+11000 r+40111 p001100 r-41100 r-30011 p000100 r-30001 r+61110 p010100 r+10101 r+01010 p010000 r-50100 r+01011 p110000 r-11100 r-50011 p110100 r-31101 r+30010
"[7, 5, 6, 4, 10, 6, 11, 6, 5, 6, 4, 5, 1, 2, 3, 7, 4, 1]",p011100 r-21000 r-20111 p001100 r+11100 r+00011 p000100 r-40001 r+01110 p010100 r-40101 r-41010 p010000 r-50100 r+61011 p110000 r-11100 r+30011 p110100 r+61101 r-20010
"[10, 11, 9, 1, 1, 2, 2, 8, 8, 3, 5, 2, 5, 10, 1, 4, 9, 10]",p011100 r+11000 r+30111 p001100 r-41100 r+60011 p000100 r-50001 r-21110 p010100 r-10101 r-51010 p010000 r-20100 r-91011 p110000 r+21100 r+00011 p110100 r-41101 r+50010
"[7, 3, 1, 9, 1, 1, 5, 8, 7, 11, 4, 5, 0, 2, 10, 5, 0, 7]",p011100 r+21000 r+40111 p001100 r+21100 r+50011 p000100 r-50001 r+41110 p010100 r+60101 r+61010 p010000 r-10000 r-21011 p110000 r+61100 r+40011 p110100 r+51101 r-20010
"[8, 10, 3, 0, 0, 1, 3, 6, 2, 9, 0, 4, 2, 10, 0, 10, 9, 9]",p011100 r+11000 r+20111 p001100 r-31100 r-50011 p000100 r-60001 r+21110 p010100 r+40101 r-41010 p010000 r-20100 r-61011 p110000 r+21100 r-20011 p110100 r+51101 r-20010
"[7, 3, 0, 5, 4, 10, 3, 2, 6, 0, 10, 5, 2, 4, 10, 6, 7, 9]",p011100 r-31000 r+30111 p001100 r-31100 r-40011 p000100 r-20001 r-51110 p010100 r+20101 r-11010 p010000 r-10100 r+21011 p110000 r+21100 r-40011 p110100 r-41101 r+60010
"[5, 6, 4, 7, 11, 4, 4, 9, 4, 8, 11, 7, 1, 4, 5, 8, 6, 8]",p011100 r-21000 r-40111 p001100 r+11100 r-50011 p000100 r-20001 r-11110 p010100 r-20101 r-11010 p010000 r-50100 r+41011 p110000 r+11100 r-20011 p110100 r+61101 r+50010
"[6, 1, 3, 8, 5, 1, 7, 2, 9, 9, 2, 6, 0, 10, 2, 3, 8, 5]",p011100 r+21000 r+40111 p001100 r+61100 r-10011 p000100 r-30001 r-21110 p010100 r+20101 r+61010 p010000 r-40100 r+01011 p110000 r-51100 r+20011 p110100 r+21101 r-40010
"[1, 10, 4, 5, 6, 10, 8, 5, 4, 8, 7, 11, 4, 8, 0, 8, 11, 4]",p011100 r-31000 r-10111 p001100 r-11100 r+50011 p000100 r-10001 r-51110 p010100 r-50101 r+01010 p010000 r+40100 r+11011 p110000 r-51100 r+30011 p110100 r-31101 r+10010
